Year,Month,Month.Numeric,Owner,Payment.Source,Maj.cat,Sub.cat.1,Sub.cat.2,Name,Amount
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,6.22
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,7.06
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.81
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,Winpak,2.15
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.25
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,7.74
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,3.06
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.59
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.76
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.59
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,Winpak,1.36
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,10.29
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,7.74
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Winpak,8.25
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,3.44
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,Tim Hortons,1.80
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,4.27
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,4.27
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,3.37
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,3.37
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Tim Hortons,7.35
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,2.92
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,3.37
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,3.37
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,4.27
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,Tim Hortons,1.80
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,McDonalds,1.57
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,McDonalds,1.80
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,McDonalds,1.68
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,McDonalds,1.57
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,4.27
2017,March,3,Nathan ,VISA,Personal,Haircut,,The Shop,42.25
2017,March,3,Nathan ,VISA,Food,Fast Food,Coffee,McDonalds,1.80
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,McDonalds,5.63
2017,March,3,Nathan ,VISA,Food,Fast Food,Breakfast,Tim Hortons,4.27
2017,March,3,Nathan ,VISA,Personal,Hygeine,,Shoppers,11.33
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,77.26
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,580.21
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,17.39
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,50.42
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,67.26
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,-15.68
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,167.78
2017,March,3,Nathan ,VISA,House,Renovations,,Home Depot,-13.55
2017,March,3,Nathan ,VISA,Food,Fast Food,Supper,Pita Pit,20.87
2017,March,3,Nathan ,VISA,Food,Fast Food,Supper,Pita Pit,24.14
2017,March,3,Nathan ,VISA,Food,Restaurant,Supper,Korean,32.23
2017,March,3,Nathan ,VISA,House,Renovations,,Rona,147.77
2017,March,3,Nathan ,VISA,House,Renovations,,Windsor Plywood,44.69
2017,March,3,Nathan ,VISA,House,Renovations,,Windsor Plywood,14.67
2017,March,3,Nathan ,VISA,Transportation,Gas,,Esso,43.22
2017,March,3,Nathan ,VISA,Transportation,Gas,,Esso,41.12
2017,March,3,Nathan ,VISA,Transportation,Gas,,Esso,41.90
2017,March,3,Nathan ,VISA,Entertainment,Photography ,,ITunes,1.35
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Subway,13.10
2017,March,3,Nathan ,VISA,Food,Restaurant,Supper,Golden Loong,50.10
2017,March,3,Nathan ,VISA,House,Renovations,,Dump Bin,195.25
2017,March,3,Nathan ,VISA,House,Renovations,,Dump Bin,140.62
2017,March,3,Nathan ,VISA,Transportation,Insurance,,MPI,57.00
2017,March,3,Nathan ,VISA,Food,Fast Food,Lunch,Subway,13.10
2017,March,3,Nathan ,VISA,Food,Fast Food,Dessert,Dairy Queen,9.02
2017,March,3,Nathan ,VISA,House,Cable/Internet,,Shaw,136.73
2017,March,3,Nathan ,VISA,Entertainment,Movie,,Cineplex,39.98
2017,March,3,Nathan ,VISA,Entertainment,Sports,Travel,Astros,45.41
2017,March,3,Nathan ,VISA,Entertainment,Music,,Spotify,9.99
